Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
College of the Atlantic,35,71.4,18.06,3.48,6.35,7.72,5.63,2.31,2.5,0.96,2.97,1.03,6,0,5.02,0.25,2.28,1.14,0.67,1.02,4
"University of California, Santa Cruz",36,71.36,11.58,7.07,5.86,7.79,5.31,2.62,1.63,4.75,3.56,1.89,3,3.71,0.76,1.97,1.99,2.01,1.03,0.83,4
Loyola University Chicago,37,71.16,14.75,7.22,4.75,8.15,4.48,3.09,1.24,3.51,4.11,1.94,1,3.21,4.43,1.31,1.81,0.84,0.37,0.92,4
State University of New York College of Environmental Science and Forestry,38,71.08,17.11,8.56,4.44,5.69,6.34,2.86,1.86,3.17,3.05,1.44,0,2.36,4.3,1.03,1.71,1.52,0.56,1.09,4
Hampshire College,39,70.8,11.44,5,6.94,8.01,5.84,2.12,2.22,4.61,2.63,0.69,6,2.86,3.13,1.32,1.81,1.64,1.29,0.75,2.5
Nova Scotia Community College,40,70.76,14.42,9.12,6.16,9.4,1.19,5.03,0.7,2.94,2.23,2.56,0,2.74,4.05,1.95,1.6,1.9,0,0.78,4
Indiana University Bloomington,41,70.74,14.88,8.74,3.35,9.47,5.75,2.3,1.44,2.49,3.29,1.25,1,3.58,3.64,1.13,1.75,1.57,0.03,1.08,4
University of Vermont,42,70.57,15.84,7.23,6.78,5.91,5.01,3.08,1.74,1.98,3.51,1.19,0,3.69,6.23,0.81,1.14,1.58,0.65,0.7,3.5
University of Missouri,43,70.44,12.84,7.23,6.58,9.83,5.59,2.15,1.13,4.39,2.24,1.2,0,3.56,5.56,0.79,1.57,1.07,0.01,0.69,4
"University of California, San Diego",44,70.34,11.01,8.26,4.48,6.75,6.25,1.26,1.13,4.23,3.56,1.74,4,3.66,3.79,0.87,1.69,1.69,1.04,0.96,4
Furman University,45,70.19,16.82,7.93,4.02,8.69,6.29,1.15,1.94,1.81,2.73,1.02,1,3.15,5.35,1.09,1.13,1.57,0.65,0.87,3
University of North Carolina at Chapel Hill,46,70.16,14.04,8.94,3.77,7.91,6.29,2.19,1.72,4.1,3.19,1.66,1,3.53,2.66,0.86,1.38,1.7,0.08,1.13,4
Portland State University,47,70.1,12.93,8.41,5.34,8.59,6.37,2.44,2.02,3.44,3.77,2.11,0,3.54,3.17,0.86,0.57,1.66,0.29,1.09,3.5
